rep_shape,config_id,BLOCK_M,BLOCK_N,BLOCK_K,GROUP_M,runtime_cost_us,p99_us,speedup_vs_torch,torch_runtime_us,invalid_config,notes
16x6144x4096,c18,64,128,128,4,34.239999999999995,35.40062,0.5955023364485983,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c16,96,128,128,4,34.471000000000004,36.66718,0.5915117054915726,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c12,128,128,128,4,34.58,36.336,0.5896471949103529,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c20,128,256,64,4,37.989999999999995,41.2142,0.5367201895235589,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c22,64,256,64,4,38.031,40.81079999999999,0.5361415687202545,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c19,256,128,64,4,54.602000000000004,57.21838,0.37342954470532214,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c10,64,128,64,4,54.741,56.4628,0.37248132113041416,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c08,128,128,64,4,55.260999999999996,56.47860000000001,0.3689763124083893,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c17,128,64,128,4,62.362,64.61282,0.3269619319457362,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c13,128,128,96,4,75.612,78.67617999999999,0.2696661905517643,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c15,128,96,128,4,81.362,83.30162,0.2506083921240874,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c04,64,64,64,4,95.681,96.8442,0.21310396003386253,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c09,128,64,64,4,95.751,97.9648,0.21294816764315777,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c21,256,64,64,4,96.431,99.12317999999999,0.2114465265319244,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c07,128,128,32,4,109.15100000000001,116.7868,0.18680543467306757,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c11,32,128,32,4,111.12100000000001,115.4308,0.18349366906345335,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c06,64,128,32,4,111.551,115.30202,0.18278634884492295,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c03,64,64,32,4,187.153,193.57598,0.10894829364210032,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c05,128,64,32,4,188.544,192.6116,0.10814451799049558,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c02,32,64,32,4,190.09300000000002,197.36579999999998,0.10726328691745618,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c01,64,32,32,4,340.847,352.17400000000004,0.05982156216718939,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c00,32,32,32,4,342.668,350.24378,0.05950365951883456,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
